source_id,bar,onset_beats,duration_beats,source_staff,source_voice,source_midi,destination,sounding_midi,octave_shift,added_doubling,tie_chain
m1-n18-1,1,0.0,4.0,1,1,71,VA,71,0,False,m1-n18-1
m1-n18-2,1,0.0,4.0,1,1,74,V2,74,0,False,m1-n18-2
m1-n18-3,1,0.0,4.0,1,1,78,V1,78,0,False,m1-n18-3
m1-n18-4,1,0.5,0.25,2,5,52,VC,52,0,False,m1-n18-4
m1-n18-5,1,0.75,0.25,2,5,50,VC,50,0,False,m1-n18-5
m1-n18-6,1,1.0,0.25,2,5,52,VC,52,0,False,m1-n18-6
m1-n18-7,1,1.25,0.25,2,5,50,VC,50,0,False,m1-n18-7
m1-n18-8,1,1.5,0.25,2,5,47,VC,47,0,False,m1-n18-8
m1-n18-9,1,1.75,0.25,2,5,50,VC,50,0,False,m1-n18-9
m1-n18-10,1,2.0,0.25,2,5,52,VC,52,0,False,m1-n18-10
m1-n18-11,1,2.25,0.25,2,5,50,VC,50,0,False,m1-n18-11
m1-n18-12,1,2.5,0.25,2,5,52,VC,52,0,False,m1-n18-12
m1-n18-13,1,2.75,0.25,2,5,50,VC,50,0,False,m1-n18-13
m1-n18-14,1,3.0,0.25,2,5,52,VC,52,0,False,m1-n18-14
m1-n18-15,1,3.25,0.25,2,5,50,VC,50,0,False,m1-n18-15
m1-n18-16,1,3.5,0.25,2,5,47,VC,47,0,False,m1-n18-16
m1-n18-17,1,3.75,0.25,2,5,50,VC,50,0,False,m1-n18-17
m2-n4-18,2,0.0,4.0,1,1,71,VA,71,0,False,m1-n18-1
m2-n4-19,2,0.0,4.0,1,1,74,V2,74,0,False,m1-n18-2
m2-n4-20,2,0.0,4.0,1,1,78,V1,78,0,False,m1-n18-3
m3-n18-21,3,0.0,4.0,1,1,71,VA,71,0,False,m1-n18-1
m3-n18-22,3,0.0,4.0,1,1,74,V2,74,0,False,m1-n18-2
m3-n18-23,3,0.0,4.0,1,1,78,V1,78,0,False,m1-n18-3
m3-n18-24,3,0.5,0.25,2,5,52,VC,52,0,False,m3-n18-24
m3-n18-25,3,0.75,0.25,2,5,50,VC,50,0,False,m3-n18-25
m3-n18-26,3,1.0,0.25,2,5,52,VC,52,0,False,m3-n18-26
m3-n18-27,3,1.25,0.25,2,5,50,VC,50,0,False,m3-n18-27
m3-n18-28,3,1.5,0.25,2,5,47,VC,47,0,False,m3-n18-28
m3-n18-29,3,1.75,0.25,2,5,50,VC,50,0,False,m3-n18-29
m3-n18-30,3,2.0,0.25,2,5,52,VC,52,0,False,m3-n18-30
m3-n18-31,3,2.25,0.25,2,5,50,VC,50,0,False,m3-n18-31
m3-n18-32,3,2.5,0.25,2,5,52,VC,52,0,False,m3-n18-32
m3-n18-33,3,2.75,0.25,2,5,50,VC,50,0,False,m3-n18-33
m3-n18-34,3,3.0,0.25,2,5,52,VC,52,0,False,m3-n18-34
m3-n18-35,3,3.25,0.25,2,5,50,VC,50,0,False,m3-n18-35
m3-n18-36,3,3.5,0.25,2,5,47,VC,47,0,False,m3-n18-36
m3-n18-37,3,3.75,0.25,2,5,50,VC,50,0,False,m3-n18-37
m4-n22-38,4,0.0,4.0,1,1,71,VA,71,0,False,m1-n18-1
m4-n22-39,4,0.0,4.0,1,1,74,V2,74,0,False,m1-n18-2
m4-n22-40,4,0.0,4.0,1,1,78,V1,78,0,False,m1-n18-3
m4-n22-41,4,0.0,0.6666666666666666,1,2,79,VA,79,0,False,m4-n22-41
m4-n22-42,4,0.0,0.6666666666666666,1,2,83,V2,83,0,False,m4-n22-42
m4-n22-43,4,0.0,0.6666666666666666,1,2,88,V1,88,0,False,m4-n22-43
m4-n22-44,4,0.6666666666666666,0.6666666666666666,1,2,79,VA,79,0,False,m4-n22-44
m4-n22-45,4,0.6666666666666666,0.6666666666666666,1,2,83,V2,83,0,False,m4-n22-45
m4-n22-46,4,0.6666666666666666,0.6666666666666666,1,2,88,V1,88,0,False,m4-n22-46
m4-n22-47,4,1.3333333333333333,0.6666666666666666,1,2,79,VA,79,0,False,m4-n22-47
m4-n22-48,4,1.3333333333333333,0.6666666666666666,1,2,83,V2,83,0,False,m4-n22-48
m4-n22-49,4,1.3333333333333333,0.6666666666666666,1,2,88,V1,88,0,False,m4-n22-49
m4-n22-50,4,2.0,0.6666666666666666,1,2,79,VA,79,0,False,m4-n22-50
m4-n22-51,4,2.0,0.6666666666666666,1,2,83,V2,83,0,False,m4-n22-51
m4-n22-52,4,2.0,0.6666666666666666,1,2,88,V1,88,0,False,m4-n22-52
m4-n22-53,4,2.6666666666666665,0.6666666666666666,1,2,79,VA,79,0,False,m4-n22-53
m4-n22-54,4,2.6666666666666665,0.6666666666666666,1,2,83,V2,83,0,False,m4-n22-54
m4-n22-55,4,2.6666666666666665,0.6666666666666666,1,2,88,V1,88,0,False,m4-n22-55
m4-n22-56,4,3.3333333333333335,0.6666666666666666,1,2,79,VA,79,0,False,m4-n22-56
m4-n22-57,4,3.3333333333333335,0.6666666666666666,1,2,83,V2,83,0,False,m4-n22-57
m4-n22-58,4,3.3333333333333335,0.6666666666666666,1,2,88,V1,88,0,False,m4-n22-58
m5-n9-59,5,0.0,0.75,2,5,40,VC,40,0,False,m5-n9-59
m5-n9-60,5,0.75,0.25,2,5,47,VC,47,0,False,m5-n9-60
m5-n9-61,5,1.0,0.5,2,5,50,VC,50,0,False,m5-n9-61
m5-n9-62,5,1.5,0.5,2,5,47,VC,47,0,False,m5-n9-62
m5-n9-63,5,2.0,0.5,2,5,50,VC,50,0,False,m5-n9-63
m5-n9-64,5,2.5,0.5,2,5,47,VC,47,0,False,m5-n9-64
m5-n9-65,5,3.0,0.5,2,5,50,VC,50,0,False,m5-n9-65
m5-n9-66,5,3.5,0.5,2,5,52,VC,52,0,False,m5-n9-66
m6-n15-67,6,1.5,0.5,1,1,71,V1,71,0,False,m6-n15-67
m6-n15-68,6,2.0,1.5,1,1,64,VA,64,0,False,m6-n15-68
m6-n15-69,6,2.0,1.5,1,1,67,V2,67,0,False,m6-n15-69
m6-n15-70,6,2.0,1.5,1,1,70,V1,70,0,False,m6-n15-70
m6-n15-71,6,3.5,0.5,1,1,71,V1,71,0,False,m6-n15-71
m6-n15-72,6,0.0,0.75,2,5,40,VC,40,0,False,m6-n15-72
m6-n15-73,6,0.75,0.25,2,5,47,VC,47,0,False,m6-n15-73
m6-n15-74,6,1.0,0.5,2,5,50,VC,50,0,False,m6-n15-74
m6-n15-75,6,1.5,0.5,2,5,47,VC,47,0,False,m6-n15-75
m6-n15-76,6,2.0,0.5,2,5,50,VC,50,0,False,m6-n15-76
m6-n15-77,6,2.5,0.5,2,5,47,VC,47,0,False,m6-n15-77
m6-n15-78,6,3.0,0.5,2,5,50,VC,50,0,False,m6-n15-78
m6-n15-79,6,3.5,0.5,2,5,52,VC,52,0,False,m6-n15-79
m7-n17-80,7,0.0,0.25,1,1,69,V1,69,0,False,m7-n17-80
m7-n17-81,7,0.25,0.25,1,1,67,V1,67,0,False,m7-n17-81
m7-n17-82,7,0.5,0.5,1,1,64,V1,64,0,False,m7-n17-82
m7-n17-83,7,3.0,0.25,1,1,71,V1,71,0,False,m7-n17-83
m7-n17-84,7,3.25,0.25,1,1,69,V1,69,0,False,m7-n17-84
m7-n17-85,7,3.5,0.25,1,1,67,V1,67,0,False,m7-n17-85
